first_name,second_name,Position,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,team_id,team_name,team_rank
Connor,Roberts,1,0,0,17,375,2,37.1,56.6,7,0,71,10.1,2,0,0,0.1,45,DEF,5,Burnley,
Wout,Weghorst,3,0,1,9,254,2,36,35.2,64,0,26,13.6,1,0,0,1.3,65,FWD,5,Burnley,
César,Azpilicueta,1,0,3,67,1389,11,215.7,333.4,134,2,332,68.4,6,0,0,3.3,56,DEF,6,Chelsea,
Olivier,Giroud,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,FWD,6,Chelsea,
Thiago,Emiliano da Silva,1,3,1,92,1642,15,73.5,555.2,189,11,432,81.8,7,0,2,5,56,DEF,6,Chelsea,
Marcos,Alonso,1,1,3,74,1429,14,376.2,303.4,283,9,318,96.5,6,0,6,8.7,56,DEF,6,Chelsea,
Jorge Luiz,Frello Filho,2,6,1,83,1523,13,255.5,447.6,184,10,385,88.8,7,0,4,4.8,58,MID,6,Chelsea,
Ross,Barkley,2,0,0,7,150,1,104.8,19.2,38,0,18,16.3,1,0,0,0.1,52,MID,6,Chelsea,
Mateo,Kovacic,2,2,5,64,1124,6,269.3,337.2,132,7,276,73.9,7,0,3,2.1,50,MID,6,Chelsea,
Michy,Batshuayi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,FWD,6,Chelsea,
Antonio,Rüdiger,1,2,3,102,2070,18,200.1,398.2,306,7,449,90.5,9,0,5,20.2,61,DEF,6,Chelsea,
Kepa,Arrizabalaga,0,0,0,19,360,2,0,95.6,0,1,89,9.6,2,0,0,0.5,47,GK,6,Chelsea,
N'Golo,Kanté,2,2,2,45,956,9,169.4,269.6,101,2,220,53.9,4,0,1,2.3,49,MID,6,Chelsea,
Hakim,Ziyech,2,3,2,52,783,5,249.4,238.6,331,6,171,81.8,5,0,2,0.8,73,MID,6,Chelsea,
Ruben,Loftus-Cheek,2,0,3,30,692,9,112.8,141,138,1,130,39.2,2,0,1,0.1,54,MID,6,Chelsea,
Andreas,Christensen,1,0,0,41,999,8,63.1,196.2,13,1,219,27.2,5,0,2,1.4,46,DEF,6,Chelsea,
Timo,Werner,3,1,1,24,574,5,40.3,73,369,1,55,47.9,2,0,1,1.4,86,FWD,6,Chelsea,
Benjamin,Chilwell,1,3,1,54,540,2,161,175.6,202,5,158,54,4,0,0,3.2,56,DEF,6,Chelsea,
Tammy,Abraham,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,65,FWD,6,Chelsea,
Christian,Pulisic,2,3,0,37,752,7,116,147.8,230,0,97,49.4,3,0,1,0.7,79,MID,6,Chelsea,
Mason,Mount,2,7,7,104,1433,13,575.5,527.8,600,8,370,170.5,6,0,2,14.2,75,MID,6,Chelsea,
Ethan,Ampadu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,DEF,6,Chelsea,
Callum,Hudson-Odoi,2,1,4,49,958,8,326.9,175.4,326,1,163,82.7,6,0,1,0.3,53,MID,6,Chelsea,
Kai,Havertz,2,2,2,50,940,8,100.6,162.2,432,2,112,69.2,6,0,0,3,78,MID,6,Chelsea,
Reece,James,1,4,5,91,1115,10,455.7,372,247,16,333,107.6,5,1,4,11,62,DEF,6,Chelsea,
Edouard,Mendy,0,0,0,83,1800,16,0,408.2,0,3,360,40.6,8,0,2,10.8,61,GK,6,Chelsea,
Malang,Sarr,1,0,0,16,270,1,5.4,77.4,0,2,81,8.3,2,0,0,0.1,49,DEF,6,Chelsea,
Trevoh,Chalobah,1,2,0,57,907,7,47,244.2,68,5,229,35.8,5,0,1,1.8,47,DEF,6,Chelsea,
Romelu,Lukaku,3,5,1,59,1087,8,201.7,248.2,483,9,211,93.1,5,0,0,8.4,115,FWD,6,Chelsea,
Emerson,Palmieri dos Santos,1,0,0,1,4,0,0.1,0,2,0,3,0.2,0,0,0,0,45,DEF,6,Chelsea,
Saúl,Ñíguez,2,0,0,5,163,2,8.3,16.8,10,0,16,3.4,0,0,1,0.1,49,MID,6,Chelsea,
Marcus,Bettinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,6,Chelsea,
Lewis,Hall,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,6,Chelsea,
Harvey,Vale,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,6,Chelsea,
